Tag1,Tag2,Num_Occurrence
labview,mindstorms,8
mindstorms,python,2
instructions,trains,2
terminology,wheel,1
lego-group,set-identification,2
shopping,value,6
electronics,power-functions,8
modular-buildings,sets,2
afol,history,1
compatibility,technic,8
brick,part-identification,5
instructions,x-pods,1
9v,manufacturing,1
cad,mindstorms,1
customization,technic,2
ev3dev,python,1
battery,compatibility,2
microfigure,terminology,2
nxc,software,3
set-modification,trains,5
lego-group,packaging,1
durability,technic,1
duplo,minifigures,1
pick-a-brick,shopping,9
brick,compatibility,3
clone-brands,organisation,1
city,history,2
gears,motors,5
moc,technic,4
building,scale,2
building,replacement-parts,1
harry-potter,value,1
ios,remote-control,1
advent-calendar,sets,1
brick,robotic,1
sets,value,2
colour,minifigures,3
electronics,mechanical,1
software,stickers,1
lugbulk,terminology,1
discontinued,motors,1
organisation,trading,2
safety,water,2
lego-games,programming,1
lighting,trains,1
motor,wheel,1
instructions,piece-information,3
preservation,storage,1
building,piece-information,9
lejos,remote-control,2
3rd-party,remote-control,1
bricks-and-pieces,star-wars,1
ev3dev,motors,1
discontinued,rcx,1
compatibility,trains,9
bricks-and-pieces,lugbulk,1
design,lego-group,2
3d-printing,gears,1
ldd,technic,6
mindstorms,motor,4
afol,trains,1
building,vehicle,1
fll,robotc,1
lego-games,mindstorms,1
colour,sensor,2
3rd-party,ev3,3
city,modular-buildings,1
lego-group,sets,4
repair,replacement-parts,2
piece-information,trains,5
friends,instructions,2
cleaning,legoland,1
bluetooth,motor,1
glue,instructions,1
accessories,shopping,2
power-functions,robotic,1
building,preservation,1
bag-build,sets,1
customization,power-functions,3
remote-control,sensor,1
cleaning,repair,1
electronics,shopping,1
building,safety,2
discontinued,duplo,1
star-wars,video-games,1
mindstorms,sensor,2
compatibility,ev3,7
software,vintage,1
instructions,ldraw,3
technic,water,1
brick,ldd,2
shopping,terminology,1
lugbulk,shopping,2
shopping,transport,1
ev3-g,steering,1
cellulose-acetate,plastics,1
ev3,value,1
lego-group,set-database,1
part-identification,space,1
building,ev3,2
sets,theme,4
snot,terminology,1
minifigure-identification,shopping,1
moc,water,1
ev3,power-functions,4
manufacturing,part-identification,1
piece-information,slope,2
3rd-party,technic,2
lejos,programming,2
bionicle,set-identification,5
lego-group,popular-culture,1
nxt,power-functions,1
ev3,mac,7
power-functions,wheel,1
mindstorms,trains,1
accessories,rcx,1
building,software,3
accessories,manufacturing,2
power-functions,shopping,2
12v,city,1
building,organisation,1
micro-scale,modular-buildings,1
building,terminology,1
technic,trains,2
building,tracks,2
cleaning,storage,1
durability,piece-information,2
3rd-party,shopping,2
ldraw,part-database,1
compatibility,sets,4
play-off,x-pods,2
set-identification,stickers,2
moc,part-identification,2
history,lego-group,6
part-identification,technic,16
bluetooth,programming,5
9v,battery,2
balls,colour,1
battery,shopping,1
plastics,vintage,2
mechanical,piece-information,2
